FechaContable,FechaTransaccion,HoraTransaccion,Empresa,Paradero,StrParadero,Linea,StrLinea,Bus,TipoValidacion,RutaSae,StrRutaSae,Cenefa
2020-11-15,2020-11-15,04:30:32,105,52806,222A05_TM|222A05_Hospital de Engativï¿½maï¿½s,1030,740,504355,Transbordo,4509,,222A05
2020-11-15,2020-11-15,04:31:45,105,52365,068A05_TM|068A05_Liceo Salomï¿½abio,1030,740,504355,Transbordo,4509,,068A05
2020-11-15,2020-11-15,04:32:27,105,52444,111A05_TM|111A05_Unidad Mï¿½ca Emaï¿½s Hospital Engativ,1083,402,507113,Transbordo,4788,,111A05
2020-11-15,2020-11-15,04:32:40,105,27688,255A05_GM|Br La Riviera Cl  70B -255A05,963,SE6_GM,504149,Transbordo,4052,,255A05
2020-11-15,2020-11-15,04:32:49,105,52442,110A05_TM|110A05_Br. Sabana del Dorado,1030,740,504355,Transbordo,4509,,110A05
2020-11-15,2020-11-15,04:34:40,105,50986,066B05_TM|066B05_Br. Los Laureles,1030,740,504355,Transbordo,4509,,066B05
2020-11-15,2020-11-15,04:34:46,105,52443,110B05_TM|110B05_Br. Sabana del Dorado,1083,402,507113,Transbordo,4788,,110B05
2020-11-15,2020-11-15,04:34:50,105,52443,110B05_TM|110B05_Br. Sabana del Dorado,1083,402,507113,Transbordo,4788,,110B05
2020-11-15,2020-11-15,04:34:53,105,52443,110B05_TM|110B05_Br. Sabana del Dorado,1083,402,507113,Transbordo,4788,,110B05
2020-11-15,2020-11-15,04:36:37,105,50987,066C05_TM|066C05_Br. Los Laureles,1083,402,507113,Transbordo,4788,,066C05
2020-11-15,2020-11-15,04:38:23,105,52362,064A05_TM|064A05_Br. Bonaire,1083,402,507113,Transbordo,4788,,064A05
2020-11-15,2020-11-15,04:38:26,105,52362,064A05_TM|064A05_Br. Bonaire,1083,402,507113,Viaje Inicial,4788,,064A05
2020-11-15,2020-11-15,04:38:49,105,53084,411A05_TM|411A05_Br. Viï¿½el Mar,1030,740,504355,Transbordo,4509,,411A05
2020-11-15,2020-11-15,04:39:15,105,44996,171B05_GM|Br. ï¿½amos,963,SE6_GM,504149,Transbordo,4052,,171B05
2020-11-15,2020-11-15,04:39:19,105,53084,411A05_TM|411A05_Br. Viï¿½el Mar,1030,740,504355,Transbordo,4509,,411A05
2020-11-15,2020-11-15,04:41:06,105,52764,204A05_TM|204A05_Br. San Antonio Engativ,1083,402,507113,Transbordo,4788,,204A05
