tipologia,Fecha,Pas,KmT,Gal
T1,20180101,49989133,302832,45722.802
T1,20180201,57749305,288751,44962.978
T1,20180301,55517990,284558,44419.352
T1,20180401,58803415,293896,45797.674
T1,20180501,59817232,301501,48300.563
T1,20180601,52450961,285347,45246.388
T1,20180701,54088970,294616,46071.437
T1,20180801,60276125,291117,45597.421
T1,20180901,59150296,281666,42540.449
T1,20181001,61715339,308674,46767.503
T1,20181101,56921894,262751,40366.223
T1,20181201,53944652,241836,37763.671
T1,20190101,50693724,255495,39638.929
T1,20190201,57953123,240211,38276.977
T1,20190301,61581769,249363,39415.944
T1,20190401,56779031,237293,36873.35
T1,20190501,63638550,264606,40933.152
T1,20190601,53348058,229384,35756.586
T1,20190701,59176714,255313,39920.794
T1,20190801,61039083,232446,36996.846
T1,20190901,61048143,231975,36935.092
T1,20191001,63621820,202636,32244.724
T1,20191101,52512404,180231,28629.581
T1,20191201,55364039,210036,33359.711
T1,20200101,51104333,262487,39731.468
T1,20200201,59685854,276546,44054.974
T1,20200301,39428269,259825,40713.37
T1,20200401,8196801,223050,32345.046
T1,20200501,12021455,306112,44033.77
T1,20200601,16043911,277569,40855.89
T1,20200701,17491866,255600,38215.64
T1,20200801,17526525,249707,37098
T2,20180101,49989133,593132,103238.679
T2,20180201,57749305,580273,103423.471
T2,20180301,55517990,582589,102597.769
T2,20180401,58803415,612465,108895.982
T2,20180501,59817232,624101,111350.277
T2,20180601,52450961,583127,103509.655
T2,20180701,54088970,611370,108658.564
T2,20180801,60276125,632155,114268.906
T2,20180901,59150296,627840,112421.626
T2,20181001,61715339,623277,111191.447
T2,20181101,56921894,629957,112414.997
T2,20181201,53944652,613923,108641.664
T2,20190101,50693724,667667,114674.243
T2,20190201,57953123,637045,111714.132
T2,20190301,61581769,687057,121009.847
T2,20190401,56779031,668126,117589.683
T2,20190501,63638550,709404,126199.882
T2,20190601,53348058,647244,114911.243
T2,20190701,59176714,736233,134002.167
T2,20190801,61039083,716174,130066.518200694
T2,20190901,61048143,717780,130555.561
T2,20191001,63621820,765498,135901.948
T2,20191101,52512404,638897,112838.402
T2,20191201,55364039,695387,121885.067
T2,20200101,51104333,708074,121220.072
T2,20200201,59685854,659817,116234.113
T2,20200301,39428269,562356,97504.11
T2,20200401,8196801,404712,64108.879
T2,20200501,12021455,645968,103455.86
T2,20200601,16043911,624480,100832.63
T2,20200701,17491866,665596,106830.51
T2,20200801,17526525,615758,98702.96
T3,20180101,643719.455796161,734706,49171.458
T3,20180201,768095.050199096,765860,52575.2887152778
T3,20180301,744342.754731332,765558,54410.8985856482
T3,20180401,785020.484049931,777011,52343.1577478992
T3,20180501,761957.208916827,767660,53276.1875238095
T3,20180601,702964.450248311,760327,51798.3629429679
T3,20180701,735441.173213727,789688,53409.061
T3,20180801,814395.337143752,813602,55136.0659767442
T3,20180901,805398.205874458,808914,54436.6061232291
T3,20181001,832825.127690036,841648,56823.4106930512
T3,20181101,776849.53134088,777789,52533.6942171289
T3,20181201,675516.117712854,739106,49381.103039548
T3,20190101,671840,774520,50904.6295367232
T3,20190201,764984,769506,51569.1209050279
T3,20190301,781911,804755,54308.9234784407
T3,20190401,728755,748123,50310.1619834254
T3,20190501,802532,812038,54879.5666850829
T3,20190601,663342,721109,49158.0928508287
T3,20190701,772173,783325,53485.9864130435
T3,20190801,780695,805362,55055.659
T3,20190901,798296,821589,54272.7765877287
T3,20191001,771817,772694,53532.0320401154
T3,20191101,631810,696826,47247.6773035701
T3,20191201,554334,691545,46769.6636097912
T3,20200101,615905,704865,44715.1831652543
T3,20200201,688694,668608,44843.7468549498
T3,20200301,520896,640046,39833.380522999
T3,20200401,186805,430220,23897.2907126835
T3,20200501,252757,848623,47375.528281112
T3,20200601,291057,864557,50565.9136389452
T3,20200701,318216,933477,55123.0842492477
T3,20200801,298640,889376,51747.9381673152
T4,20180101,1753194.84610955,1762665,120954.297814905
T4,20180201,2099546.53452958,1762757,127199.93676312
T4,20180301,2022471.64077122,1796640,130857.956098383
T4,20180401,2135055.27892173,1807734,130083.00186006
T4,20180501,2116867.70752933,1817523,131745.942115526
T4,20180601,1891517.00436087,1759511,126496.698875137
T4,20180701,1981212.18187174,1837872,130318.426768873
T4,20180801,2173282.03844245,1903044,135877.732042946
T4,20180901,2103213.82492208,1845675,131554.082262644
T4,20181001,2179689.93721385,1969546,140232.968796073
T4,20181101,2033346.26294261,1795578,128507.963313852
T4,20181201,1805055.24758298,1686779,119368.131337888
T4,20190101,2138188,1778953,126701.168038925
T4,20190201,2461067,1804587,130998.661907891
T4,20190301,2531873,1875381,137583.827840774
T4,20190401,2328264,1789201,130656.230936027
T4,20190501,2589785,1863363,139180.900969656
T4,20190601,2190673,1736979,127137.066104082
T4,20190701,2686994,1978415,146008.059004063
T4,20190801,2784971,1917790,145585.262228246
T4,20190901,2933646,1901119,142383.631899245
T4,20191001,2758298,1873715,141461.925872756
T4,20191101,2334128,1677750,126793.227203952
T4,20191201,2309042,1614349,123791.623113836
T4,20200101,2092316,1720031,122759.234077533
T4,20200201,2369241,1654836,123500.853199492
T4,20200301,1698120,1620895,112726.511579563
T4,20200401,697456,1451746,89338.2796336497
T4,20200501,894249,1958351,121603.714382771
T4,20200601,1027652,1954355,129085.831772865
T4,20200701,1118420,2112164,140701.552009366
T4,20200801,1101227,1974157,130892.933263065
T5,20180101,169690.204081633,308703,16706.4647852761
T5,20180201,226336.979591837,327114,17779.1850347222
T5,20180301,210237.653061224,345509,17826.6063194444
T5,20180401,226046.448979592,350446,18604.7246098439
T5,20180501,226919.408163265,339597,18605.463452381
T5,20180601,190463.591836735,330916,17189.1180315615
T5,20180701,202890.632653061,331244,17581.19
T5,20180801,238370.346938776,339856,18108.9377906977
T5,20180901,236023.591836735,334750,17618.8103982892
T5,20181001,245926.632653061,354150,18966.1805054859
T5,20181101,222329.87755102,302854,16229.9260779404
T5,20181201,183929.591836735,280694,15131.3491525424
T5,20190101,178402,283063,14474.4368361582
T5,20190201,227058,292774,15437.3745251397
T5,20190301,231095,298948,15806.6979910491
T5,20190401,216870,292113,15464.7582320442
T5,20190501,250071,316125,16644.0822099448
T5,20190601,192657,290564,15050.7251933702
T5,20190701,180265,339082,17604.5148913043
T5,20190801,167374,307376,16202.4104347826
T5,20190901,176358,292154,15526.1852529602
T5,20191001,171143,291828,15955.5441674632
T5,20191101,136949,254277,13583.2494198239
T5,20191201,123480,254072,13559.1715701967
T5,20200101,139226,264641,13159.0705508475
T5,20200201,176499,262538,13534.3733050847
T5,20200301,124781,289616,13891.0888665388
T5,20200401,30475,251501,11651.9358747166
T5,20200501,39299,330291,14706.9807898819
T5,20200601,48925,324876,15187.7561150221
T5,20200701,56053,364450,17109.4254001264
T5,20200801,56034,337977,15244.5329850565
T6,20180101,49989133,309432,27224.953
T6,20180201,57749305,294424,26960.66
T6,20180301,55517990,307824,27408.523
T6,20180401,58803415,313647,28671.879
T6,20180501,59817232,316136,29830.52
T6,20180601,52450961,303069,26894.459
T6,20180701,54088970,308232,27528.8060859466
T6,20180801,60276125,328567,28743.806
T6,20180901,59150296,314299,28273.175
T6,20181001,61715339,315300,28357.581
T6,20181101,56921894,299255,26529.973
T6,20181201,53944652,302541,26377.251
T6,20190101,50693724,322311,27779.131
T6,20190201,57953123,306300,27144.858
T6,20190301,61581769,318248,28352.167
T6,20190401,56779031,306780,27338.63
